TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, LinearRegression, 208.293, 1.8776344551424374e+20, 55.3459, 78.4314, 0.7057, 0.1442, 0.0991, 0.0091
D2, optuna, LinearRegression, 214.4268, 1.3882366243231588e+22, 81.9401, 85.8486, 0.9545, 0.215, 0.1384, 0.0125
D3, optuna, LinearRegression, 245.8236, 3.167211468255674e+26, 55.9823, 59.0381, 0.9482, 0.2074, 0.0915, 0.0094
D4, optuna, LinearRegression, 223.0474, 8.721636337371975e+22, 98.3769, 98.6011, 0.9977, 0.1926, 0.1317, 0.0093
D5, optuna, LinearRegression, 231.1806, 623.0459, 68.4926, 78.9235, 0.8678, 0.1235, 0.1599, 0.0066
D6, optuna, LinearRegression, 241.7579, 626.1787, 46.6491, 60.4225, 0.772, 0.1822, 0.1213, 0.0135
D7, optuna, LinearRegression, 226.6376, 8.579915133420423e+22, 48.4848, 67.76, 0.7155, 0.23, 0.1802, 0.006
D8, optuna, LinearRegression, 250.9017, 6.112238161537065e+24, 38.0861, 49.5337, 0.7689, 0.2033, 0.0992, 0.0064
D9, optuna, LinearRegression, 212.3574, 2.330596331136551e+25, 92.8452, 94.9241, 0.9781, 0.1219, 0.1007, 0.0014
D10, optuna, LinearRegression, 231.791, 1.6897482145856271e+31, 55.0247, 56.1133, 0.9806, 0.2187, 0.1672, 0.0065
